panel	unpolished_run_name	unpolished_clean_sensitivity	unpolished_taxonomic_specificity	unpolished_positive_off_target_rate	unpolished_mean_reported_taxa_positive	unpolished_mean_off_target_taxa_positive	unpolished_clean_f1	unpolished_n_taxa_found	unpolished_taxa_found	unpolished_n_off_target_taxa_detected	unpolished_off_target_taxa_detected	unpolished_Plasmodium_falciparum_sensitivity	unpolished_Plasmodium_falciparum_f1	unpolished_Plasmodium_falciparum_lod50	unpolished_Plasmodium_vivax_sensitivity	unpolished_Plasmodium_vivax_f1	unpolished_Plasmodium_vivax_lod50	polished_run_name	polished_clean_sensitivity	polished_taxonomic_specificity	polished_positive_off_target_rate	polished_mean_reported_taxa_positive	polished_mean_off_target_taxa_positive	polished_clean_f1	polished_n_taxa_found	polished_taxa_found	polished_n_off_target_taxa_detected	polished_off_target_taxa_detected	polished_Plasmodium_falciparum_sensitivity	polished_Plasmodium_falciparum_f1	polished_Plasmodium_falciparum_lod50	polished_Plasmodium_vivax_sensitivity	polished_Plasmodium_vivax_f1	polished_Plasmodium_vivax_lod50	unpolished_Plasmodium_knowlesi_sensitivity	unpolished_Plasmodium_knowlesi_f1	unpolished_Plasmodium_knowlesi_lod50	polished_Plasmodium_knowlesi_sensitivity	polished_Plasmodium_knowlesi_f1	polished_Plasmodium_knowlesi_lod50	delta_clean_sensitivity	delta_mean_off_target_taxa_positive
panel2	spikein_multi_flye_panel2_20260417_151425	0.0		1.0	5.609	2.522		11	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 3D7; Plasmodium falciparum NF54; Plasmodium vivax	4	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae	0.114	0.204	10000.0	0.114	0.204	10000.0	spikein_multi_flye_medaka_panel2_20260417_151425	0.0		0.957	5.0	2.391		8	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	4	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae	0.083	0.154	10000.0	0.114	0.204	5000.0							0.0	-0.13
panel3	spikein_multi_flye_panel3_20260417_151431	0.0		1.0	6.458	2.458		13	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 398.1; Plasmodium falciparum 58.1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax	4	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae	0.098	0.179	15000.0	0.136	0.24	7500.0	spikein_multi_flye_medaka_panel3_20260417_151431	0.0		1.0	6.696	2.478		11	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 398.1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax	3	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	0.098	0.179	15000.0	0.106	0.192	15000.0	0.121	0.216	15000.0	0.136	0.24	7500.0	0.0	0.02
